instance_id,text,annotation task,number of annotations,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain,offensiveness,user_id,cleaned_text,cleaned_domain,community,text_with_domain,predicted_label,true_label,cross_entropy
4,<user> Stay away from children.,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,272,stay away from children.,elections2020,3,elections2020 stay away from children.,0,1,2.0400164127349854
30,"<user> <user> Hey bruh,  that's  not cool. Democrats  play dirty but we should  play smarter. #MAGA",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,272,"hey bruh, that is not cool. democrats play dirty but we should play smarter. #maga",elections2020,3,"elections2020 hey bruh, that is not cool. democrats play dirty but we should play smarter. #maga",0,1,1.2935478687286377
81,<user> <user> No he doesn’t. It’s GOP propaganda. Another reason why we need to vote for <user>,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,60,no he does not. it is gop propaganda. another reason why we need to vote for,elections2020,3,elections2020 no he does not. it is gop propaganda. another reason why we need to vote for,0,1,2.6904165744781494
127,"Need I say more? Trolling the Democrats is by far one of my favorite pastimes, looks like <user> does to! Except <user> does it with class and He trolls like an expert! Go get em President Trump! Screw those Anti-American Dems! They are worthless and total losers! #MAGA",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,21,"need i say more? trolling the democrats is by far one of my favorite pastimes, looks like does to! except does it with class and he trolls like an expert! go get them president trump! screw those anti-american dems! they are worthless and total losers! #maga",elections2020,3,"elections2020 need i say more? trolling the democrats is by far one of my favorite pastimes, looks like does to! except does it with class and he trolls like an expert! go get them president trump! screw those anti-american dems! they are worthless and total losers! #maga",1,0,1.430570125579834
161,"Crap! Stop the BS. He was paid large sums of money &amp; used this as a springboard to later fame &amp; more money which is what he wanted.  I watched several B&amp;W Minstrel shows with my parents &amp; neither the show nor my parents were racist.   Fact is, it was simply an early form of BGT.",offensiveness detection,5,en,1,test,0.4,0.6,BLM,1,546,"crap! stop the bs. he was paid large sums of money & used this as a springboard to later fame & more money which is what he wanted. i watched several b&w minstrel shows with my parents & neither the show nor my parents were racist. fact is, it was simply an early form of bgt.",blm,3,"blm crap! stop the bs. he was paid large sums of money & used this as a springboard to later fame & more money which is what he wanted. i watched several b&w minstrel shows with my parents & neither the show nor my parents were racist. fact is, it was simply an early form of bgt.",0,1,0.7045409679412842
169,😍THIS IS SO FUNNY!  😂🤣WATCH <user> MAKE A ASS/DONKEY OUT OF HIMSELF <url>,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,64,:smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,elections2020,3,elections2020 :smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,1,0,0.8892513513565063
217,"""Struggles with message"" is a strange way to say ""Explodes in Rabid Racism"".",offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,64,"""struggles with message"" is a strange way to say ""explodes in rabid racism"".",blm,3,"blm ""struggles with message"" is a strange way to say ""explodes in rabid racism"".",0,1,1.7703348398208618
225,"Bruce .<user> your ad insults the intelligence of American workers. They’re not stupid. They know if Biden wins, China wins. <url>",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,64,"bruce . your ad insults the intelligence of american workers. they are not stupid. they know if biden wins, china wins.",elections2020,3,"elections2020 bruce . your ad insults the intelligence of american workers. they are not stupid. they know if biden wins, china wins.",0,1,0.782027542591095
244,<user> <user> <user> Why is <user> an open Nazi supporter?,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,60,why is an open nazi supporter?,elections2020,3,elections2020 why is an open nazi supporter?,0,1,1.756190538406372
269,"<user> <user> Easy answer to silence idiots, make mask a law.  Wear them in public places thats it. You dont need em in your house, when you sleep, while your driving. Just in public places. Im certain no one liked seatbelts but hows that going?",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,64,"easy answer to silence idiots, make mask a law. wear them in public places that is it. you do not need them in your house, when you sleep, while your driving. just in public places. i am certain no one liked seatbelts but how is that going?",elections2020,3,"elections2020 easy answer to silence idiots, make mask a law. wear them in public places that is it. you do not need them in your house, when you sleep, while your driving. just in public places. i am certain no one liked seatbelts but how is that going?",0,1,1.134278655052185
