instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
39,1,"for you and your chinese overlords, 操你",elections2020,"elections2020 for you and your chinese overlords, 操你",0,1,1.9450093507766724
62,0,and this big guy will mindlessly drug hoover all the cocaine off malia obama in the west wing kitchen before doing megadeals on china white.,elections2020,elections2020 and this big guy will mindlessly drug hoover all the cocaine off malia obama in the west wing kitchen before doing megadeals on china white.,1,0,1.2485748529434204
73,0,just say you are racist and go you literally have nothing more to say just over and over,elections2020,elections2020 just say you are racist and go you literally have nothing more to say just over and over,1,0,0.9485735893249512
84,1,truth from trump? hahahaha. man the republicans are getting so stupid.,elections2020,elections2020 truth from trump? hahahaha. man the republicans are getting so stupid.,0,1,1.390891194343567
88,1,told the proud boys to stand by then tells his supports to go into the polls and watch. sounds like a call for intimidation and terrorism. if you are still undecided you are a racist. if your are undecided and say but & you are racist.,elections2020,elections2020 told the proud boys to stand by then tells his supports to go into the polls and watch. sounds like a call for intimidation and terrorism. if you are still undecided you are a racist. if your are undecided and say but & you are racist.,0,1,1.6812307834625244
118,1,i know it are not shit but anything i can do to help #blacklivesmatter :brown_heart:,blm,blm i know it are not shit but anything i can do to help #blacklivesmatter :brown_heart:,0,1,2.4622998237609863
152,1,we are all thinking it. trump gets coronavirus and spreads it through republican ass kissing #coronavirus #fakepresident,covid-19,covid-19 we are all thinking it. trump gets coronavirus and spreads it through republican ass kissing #coronavirus #fakepresident,0,1,0.7622983455657959
158,0,is that all you have? the racist label?,elections2020,elections2020 is that all you have? the racist label?,1,0,0.7310345768928528
171,0,fuck yes!!!!! :bat: work from home with no pants on continues through december 31st because my state does not know how to wear masks and my work is terrified of flu season!!! covid fucking sucks but wfh is amazing :black_heart: #nopantsdance #hermitlife #wearamask,covid-19,covid-19 fuck yes!!!!! :bat: work from home with no pants on continues through december 31st because my state does not know how to wear masks and my work is terrified of flu season!!! covid fucking sucks but wfh is amazing :black_heart: #nopantsdance #hermitlife #wearamask,1,0,1.403547763824463
181,1,they should just call this chapter in the history books the price of white supremacy and have it just be the number of covid-19 deaths.,covid-19,covid-19 they should just call this chapter in the history books the price of white supremacy and have it just be the number of covid-19 deaths.,0,1,2.129037380218506
211,1,"duty to care? yet, you do not mind murdering children in the womb? your sick. who let their child get within 10 feet of you?",elections2020,"elections2020 duty to care? yet, you do not mind murdering children in the womb? your sick. who let their child get within 10 feet of you?",0,1,0.7523759007453918
226,0,"i am not convinced of anything and have no faith. before covid all we heard were indictments were coming. well where did they go? barr let us mccabe off,comey still walking free,strzok free and some still on payroll. now the wiped cell phones. fbi above the law. this is shit show.",covid-19,"covid-19 i am not convinced of anything and have no faith. before covid all we heard were indictments were coming. well where did they go? barr let us mccabe off,comey still walking free,strzok free and some still on payroll. now the wiped cell phones. fbi above the law. this is shit show.",1,0,1.0479216575622559
231,1,disgraceful performance by depends wearing joe biden.,elections2020,elections2020 disgraceful performance by depends wearing joe biden.,0,1,1.436301589012146
236,0,hell yeah,elections2020,elections2020 hell yeah,1,0,0.8945054411888123
244,1,why is an open nazi supporter?,elections2020,elections2020 why is an open nazi supporter?,0,1,2.07420015335083
263,0,"who says i am not, but they are not caused by a virus spreading like wildfire are they? trump has surrendered to covid. the deadliest and most inept potus in history. hell of a time to go gop. you are a liar and a fraud.",covid-19,"covid-19 who says i am not, but they are not caused by a virus spreading like wildfire are they? trump has surrendered to covid. the deadliest and most inept potus in history. hell of a time to go gop. you are a liar and a fraud.",1,0,1.0232840776443481
320,0,bro fuck,covid-19,covid-19 bro fuck,1,0,2.2414565086364746
347,0,"dude had a knife. divisive, lying, pos.",elections2020,"elections2020 dude had a knife. divisive, lying, pos.",1,0,1.147986650466919
354,1,"blklivesmatter do not believe #meghanmarkle black america! meghan markle on resume listed herself as white only, although raised by a black mother. never acknowledging she is 50% black? now, she wants to scream #blacklivesmatter? she is an opportunist! #worldenvironmentday",blm,"blm blklivesmatter do not believe #meghanmarkle black america! meghan markle on resume listed herself as white only, although raised by a black mother. never acknowledging she is 50% black? now, she wants to scream #blacklivesmatter? she is an opportunist! #worldenvironmentday",0,1,2.529759645462036
366,1,racist supporting a racist.,elections2020,elections2020 racist supporting a racist.,0,1,1.61631441116333
372,0,joe you were lying the whole time smh,elections2020,elections2020 joe you were lying the whole time smh,1,0,0.7731814980506897
409,1,everything is upside down in the sh*t stained reality of trump.,covid-19,covid-19 everything is upside down in the sh*t stained reality of trump.,0,1,1.2732975482940674
435,1,the democrat party is another rascist relic from the past . remove them from the public square in november #democratsaredestroyingamerica #blacklivesmatter,blm,blm the democrat party is another rascist relic from the past . remove them from the public square in november #democratsaredestroyingamerica #blacklivesmatter,0,1,2.0742645263671875
438,1,it was racist and unkind and pointing his ugly finger:face_with_medical_mask::face_with_medical_mask::face_with_medical_mask:,covid-19,covid-19 it was racist and unkind and pointing his ugly finger:face_with_medical_mask::face_with_medical_mask::face_with_medical_mask:,0,1,0.9045093059539795
445,1,"so my aunt in law or whatever actually employed the cop who killed george floyd as a security guard, she said it did not surprise her he was a fucked up guy.",blm,"blm so my aunt in law or whatever actually employed the cop who killed george floyd as a security guard, she said it did not surprise her he was a fucked up guy.",0,1,1.3471652269363403
450,1,"imagine being a woman and having a ""leader"" say they can grab you by the p***y because of his status, imagine being a latino and that person referring to you a rapist, imagine having a disability and that ""leader"" makes fun of you. this is why we have to #vote #votehimout2020",elections2020,"elections2020 imagine being a woman and having a ""leader"" say they can grab you by the p***y because of his status, imagine being a latino and that person referring to you a rapist, imagine having a disability and that ""leader"" makes fun of you. this is why we have to #vote #votehimout2020",0,1,1.8976881504058838
