instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
2,0,. #wedontbuyhate this is powerful. watch,blm,blm . #wedontbuyhate this is powerful. watch,0,0,0.07373081892728806
3,1,"if you watched the entire #georgefloyd porno, you have unlocked your inner level 5 freak & there is no turning back for you...#youknowwhoyouare #dannysdailydose",blm,"blm if you watched the entire #georgefloyd porno, you have unlocked your inner level 5 freak & there is no turning back for you...#youknowwhoyouare #dannysdailydose",1,1,0.3979414701461792
6,0,trayvon martin #georgezimmerman deserved the death penalty,blm,blm trayvon martin #georgezimmerman deserved the death penalty,0,0,0.13030657172203064
9,0,well kind of all over the news. and i do not know how many felons that rob pregnant ladies at gun point get 3 funerals?not really sure.still not getting how they can talk about how what happened to him was absolutely unacceptable w/o misleading people on who he was,blm,blm well kind of all over the news. and i do not know how many felons that rob pregnant ladies at gun point get 3 funerals?not really sure.still not getting how they can talk about how what happened to him was absolutely unacceptable w/o misleading people on who he was,0,0,0.2823196053504944
21,0,total confirmed covid cases by county for ut 7-30-20: this and our covid series of visualizations cuts through the noise thanks to usafacts and a top team of data scientists. #covidvislualizations #coviddata #smcanalytics,covid-19,covid-19 total confirmed covid cases by county for ut 7-30-20: this and our covid series of visualizations cuts through the noise thanks to usafacts and a top team of data scientists. #covidvislualizations #coviddata #smcanalytics,0,0,0.05170105770230293
29,0,this is what the happens in the brains of people who believe that 5g internet causes covid-19.,covid-19,covid-19 this is what the happens in the brains of people who believe that 5g internet causes covid-19.,0,0,0.06287959218025208
31,1,"i heard the antichrist pontificate from the pulpit using all the six words of his vocabulary, assisted by scores of made-up mumbled & slurred terms. he was ‘biden his time and summoning forth his goons for more dirty work. - thus spake zarathustra",elections2020,"elections2020 i heard the antichrist pontificate from the pulpit using all the six words of his vocabulary, assisted by scores of made-up mumbled & slurred terms. he was ‘biden his time and summoning forth his goons for more dirty work. - thus spake zarathustra",1,1,0.6487643718719482
33,1,"george floyd was known as ""mr smile"" and ""gentle giant"" because of his kindness. he always protected women from the bar/resturant he worked at & used to wait with them until their ubers came. fuck the police who killed this precious man. #blacklivesmatters #raisethedegree",blm,"blm george floyd was known as ""mr smile"" and ""gentle giant"" because of his kindness. he always protected women from the bar/resturant he worked at & used to wait with them until their ubers came. fuck the police who killed this precious man. #blacklivesmatters #raisethedegree",1,1,0.5250637531280518
45,0,we lost count of how many white men have killed you george i cannot breathe floyd makes number what?,blm,blm we lost count of how many white men have killed you george i cannot breathe floyd makes number what?,0,0,0.3218143880367279
46,0,"""new covid-19 advisor is a fraud and not an expert! researchers & doctors at stanford's med school say alas is not an expert in diseases. in fact, he """"peddles falsehoods."""" abc news 9/10/20 and business insider, 9/29/20""",covid-19,"covid-19 ""new covid-19 advisor is a fraud and not an expert! researchers & doctors at stanford's med school say alas is not an expert in diseases. in fact, he """"peddles falsehoods."""" abc news 9/10/20 and business insider, 9/29/20""",0,0,0.06970655173063278
47,0,good job :winking_face:,covid-19,covid-19 good job :winking_face:,0,0,0.07816183567047119
48,0,dear god.,elections2020,elections2020 dear god.,0,0,0.18179365992546082
49,0,definitely not punching down,blm,blm definitely not punching down,0,0,0.13681435585021973
50,0,‘we are moving in the wrong direction’: houston mayor issues dire warning about texas covid-19 explosion - raw story via,covid-19,covid-19 ‘we are moving in the wrong direction’: houston mayor issues dire warning about texas covid-19 explosion - raw story via,0,0,0.05381570756435394
54,0,"god bless the usa & pres trump! evil nwo globalist mafia is paying anarchist/thugs to destroy and destabilize america! russia hoax failed, impeachment failed, covid19 falied, now riots, burning, destroying america's cities! this fight is good vs evil!",covid-19,"covid-19 god bless the usa & pres trump! evil nwo globalist mafia is paying anarchist/thugs to destroy and destabilize america! russia hoax failed, impeachment failed, covid19 falied, now riots, burning, destroying america's cities! this fight is good vs evil!",0,0,0.4486011564731598
56,0,"just... a question, how can you able to murder someone who has that smile..... i mean... how... what a heartless being....",blm,"blm just... a question, how can you able to murder someone who has that smile..... i mean... how... what a heartless being....",0,0,0.31510376930236816
59,1,"my. god. :bullseye: all true. it is utterly unconscionable the cruelty burns through my soul — i will never understand what the gop did to the american people this party should die, just like all their victims of covid #maga morons #vote them all out :police_car_light::police_car_light::police_car_light:",covid-19,"covid-19 my. god. :bullseye: all true. it is utterly unconscionable the cruelty burns through my soul — i will never understand what the gop did to the american people this party should die, just like all their victims of covid #maga morons #vote them all out :police_car_light::police_car_light::police_car_light:",1,1,0.4741879999637604
65,0,"nothing said at all. mentioned david dorn last night on fox. very respectful. he was a great man, black & did not get the respect he deserved. off duty & went to help a business being rioted because of the thugs. sad:folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone:",blm,"blm nothing said at all. mentioned david dorn last night on fox. very respectful. he was a great man, black & did not get the respect he deserved. off duty & went to help a business being rioted because of the thugs. sad:folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone:",0,0,0.09495283663272858
66,0,looter shot dead by pawn shop owner in george floyd #minneapolis riots midwestern city rocked by anarchy,blm,blm looter shot dead by pawn shop owner in george floyd #minneapolis riots midwestern city rocked by anarchy,0,0,0.1918293833732605
78,0,"the fact that a lot of supporters for #blacklivesmatter are from india shows that our society is changing, realising its own mistakes and trying to correct it. so yes your mockery is definitely not doing anything except denying a change that exists in indian society.",blm,"blm the fact that a lot of supporters for #blacklivesmatter are from india shows that our society is changing, realising its own mistakes and trying to correct it. so yes your mockery is definitely not doing anything except denying a change that exists in indian society.",0,0,0.11735177785158157
80,0,why does the union support trump???,elections2020,elections2020 why does the union support trump???,0,0,0.08079622685909271
82,0,this is why the #blacklivesmatter movement is so freakin important! this is why the protests will only continue to get stronger. this is why the voices will only get louder. this is why we cannot ever stop fighting for black equality!!!,blm,blm this is why the #blacklivesmatter movement is so freakin important! this is why the protests will only continue to get stronger. this is why the voices will only get louder. this is why we cannot ever stop fighting for black equality!!!,0,0,0.1280898153781891
83,0,"right, even if you have to fill them out yourself",elections2020,"elections2020 right, even if you have to fill them out yourself",0,0,0.12477608770132065
85,0,thousands in australia rally against racism and killing of george floyd,blm,blm thousands in australia rally against racism and killing of george floyd,0,0,0.11298388242721558
87,1,you are joking right shuffles; covid cases are up as well as covid related deaths you imbecile or do you not recognize the 124k deaths because they make you look bad,covid-19,covid-19 you are joking right shuffles; covid cases are up as well as covid related deaths you imbecile or do you not recognize the 124k deaths because they make you look bad,1,1,0.5116416811943054
