instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
6397,1,president trump brings death to america. #coronaoutbreak #coronavirus #trumpvirus,covid-19,covid-19 president trump brings death to america. #coronaoutbreak #coronavirus #trumpvirus,0,1,1.8246437311172485
7387,0,why do not donny just have his egotistical infested rallies!,covid-19,covid-19 why do not donny just have his egotistical infested rallies!,1,0,0.7628021240234375
2905,1,"true, one must wonder why ny's nazi democrats intentionally forced covid-19 infected upon elderly in nursing homes.",covid-19,"covid-19 true, one must wonder why ny's nazi democrats intentionally forced covid-19 infected upon elderly in nursing homes.",0,1,2.9265220165252686
9383,1,"face of an angel, naughty like the devil :smiling_face_with_horns::smirking_face: rt if you are going to be on your knees for me? :smiling_face_with_horns::smirking_face: #gayguy #onlyfansboy #cum #hornyboy #gaytwunk #beardedguy #anomymous and do not forget #blacklivesmatter it was a trans black woman that gaves us the rights we have today!!",blm,"blm face of an angel, naughty like the devil :smiling_face_with_horns::smirking_face: rt if you are going to be on your knees for me? :smiling_face_with_horns::smirking_face: #gayguy #onlyfansboy #cum #hornyboy #gaytwunk #beardedguy #anomymous and do not forget #blacklivesmatter it was a trans black woman that gaves us the rights we have today!!",0,1,1.4446218013763428
244,1,why is an open nazi supporter?,elections2020,elections2020 why is an open nazi supporter?,0,1,2.9415295124053955
6503,1,punish these negros like george floyd..,blm,blm punish these negros like george floyd..,0,1,2.538736581802368
5987,1,"if were not running a demented octogenarian who was never smart, she would not have had to feel sorry for having a hard time in a stressful situation. her parents should explain that to her.",elections2020,"elections2020 if were not running a demented octogenarian who was never smart, she would not have had to feel sorry for having a hard time in a stressful situation. her parents should explain that to her.",0,1,2.5222291946411133
8255,1,this niggas are retarded,blm,blm this niggas are retarded,0,1,0.874428927898407
8106,1,the us is so f%cked,covid-19,covid-19 the us is so f%cked,0,1,1.3811123371124268
8482,1,idiot does not wear a mask. idiot gets covid. natural selection at its finest...,covid-19,covid-19 idiot does not wear a mask. idiot gets covid. natural selection at its finest...,0,1,1.0364234447479248
8480,1,it is not political. it is communist. be a slave. period.,elections2020,elections2020 it is not political. it is communist. be a slave. period.,0,1,1.707418441772461
10331,1,you put corona patients there to kill off the elderly to increase numbers to hurt the president everyone knows it your not fooling anyone,covid-19,covid-19 you put corona patients there to kill off the elderly to increase numbers to hurt the president everyone knows it your not fooling anyone,0,1,0.7773674130439758
7930,1,"these racist pigs are plain evil cowards. the black man humiliated them, left their asses on the ground, that is why they killed him. black lives matter. enough is enough. #blacklivesmatter #atlantashooting #atlantaprotest",blm,"blm these racist pigs are plain evil cowards. the black man humiliated them, left their asses on the ground, that is why they killed him. black lives matter. enough is enough. #blacklivesmatter #atlantashooting #atlantaprotest",0,1,0.7087060809135437
1212,0,"home improvement retail is not essential!! i am tired of sick people coming in to stores not taking #coronavirus serious! people this is not the time to catch up on your diy project, stay your ass home!!!! #politics #hotmess #news",covid-19,"covid-19 home improvement retail is not essential!! i am tired of sick people coming in to stores not taking #coronavirus serious! people this is not the time to catch up on your diy project, stay your ass home!!!! #politics #hotmess #news",1,0,1.1226733922958374
8715,0,more than just swamp. it is most dirty filthy evils.,elections2020,elections2020 more than just swamp. it is most dirty filthy evils.,1,0,1.0179126262664795
4981,0,if you turn out to be mike pence nobody’s going to like you any more.,blm,blm if you turn out to be mike pence nobody’s going to like you any more.,1,0,1.033891201019287
4375,0,#defundthebbc #racists #blacklivesmatter #shamimabegum you can take our everything you will never take my mind or will you,blm,blm #defundthebbc #racists #blacklivesmatter #shamimabegum you can take our everything you will never take my mind or will you,1,0,0.8991093635559082
349,1,"in trumps own words. the only racist on the stage was you joe. antifa is not an ""idea"" joe.",elections2020,"elections2020 in trumps own words. the only racist on the stage was you joe. antifa is not an ""idea"" joe.",0,1,0.8460608124732971
2936,0,"trump is criminally negligent. a real moron. he had plenty of notice. failed to listen or act. he was more concerned the economy and his election trump officials ignored coronavirus warnings, ousted scientist says in complaint",covid-19,"covid-19 trump is criminally negligent. a real moron. he had plenty of notice. failed to listen or act. he was more concerned the economy and his election trump officials ignored coronavirus warnings, ousted scientist says in complaint",1,0,0.8861860036849976
6956,0,"buckle up and hunker down, folks.",covid-19,"covid-19 buckle up and hunker down, folks.",1,0,0.8905164003372192
6670,0,so proud of my city for staying strong and continuing to protest all of last week and this week. #blacklivesmattter #fuck12,blm,blm so proud of my city for staying strong and continuing to protest all of last week and this week. #blacklivesmattter #fuck12,1,0,0.9118684530258179
4114,1,"fringe blacks, antifa and blm are the problem. proof is in nightly riot news video",elections2020,"elections2020 fringe blacks, antifa and blm are the problem. proof is in nightly riot news video",0,1,2.38138484954834
4294,1,super spreader trump,covid-19,covid-19 super spreader trump,0,1,1.2422157526016235
7371,1,spoken like a true blue crooked politician!,elections2020,elections2020 spoken like a true blue crooked politician!,0,1,1.5912623405456543
7680,0,"again, this is the crap we would expect from biden.",covid-19,"covid-19 again, this is the crap we would expect from biden.",1,0,0.8916075229644775
3120,0,"our city’s fucking burning, this is not a riot anymore this is a attack. i am all for the justice of george floyd, but it should not ever go down like this.",blm,"blm our city’s fucking burning, this is not a riot anymore this is a attack. i am all for the justice of george floyd, but it should not ever go down like this.",1,0,1.3533718585968018
3781,1,start punching back !!!,blm,blm start punching back !!!,0,1,3.1876819133758545
