instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
2394,0,my model successfully predicted the rise in cases this week in the us. the projection is much worse for the next month. #covid #covidfriday #covidiots #corona #coronavirus,covid-19,covid-19 my model successfully predicted the rise in cases this week in the us. the projection is much worse for the next month. #covid #covidfriday #covidiots #corona #coronavirus,0,0,0.03950227051973343
2263,0,"white people justified unruly protests when it pertained to covid restrictions saying that ""they are not hateful people, they are afraid."" but these protests.....? these are criminals? clearly wearing a mask is a horrible human rights violation, but murder is not.",covid-19,"covid-19 white people justified unruly protests when it pertained to covid restrictions saying that ""they are not hateful people, they are afraid."" but these protests.....? these are criminals? clearly wearing a mask is a horrible human rights violation, but murder is not.",0,0,0.06495087593793869
1300,0,this why i say its time for athletes to sit out. them racist owners only care to profit off them,blm,blm this why i say its time for athletes to sit out. them racist owners only care to profit off them,0,0,0.6875981092453003
223,0,people are afraid :crying_face: i blame the media on this hysteria. it is sickening :persevering_face:,covid-19,covid-19 people are afraid :crying_face: i blame the media on this hysteria. it is sickening :persevering_face:,0,0,0.04093535989522934
1217,0,what the hell san diego,blm,blm what the hell san diego,0,0,0.5219457745552063
2921,1,biden is corrupt and you are crazy,elections2020,elections2020 biden is corrupt and you are crazy,1,1,0.38147518038749695
1756,1,"we all bleed the same fucking blood & who tf made ""white"" the correct way to be.. #blacklivesmatter forever bitch :black_heart::raised_fist_medium-dark_skin_tone::raised_fist_medium_skin_tone::raised_fist_dark_skin_tone:",blm,"blm we all bleed the same fucking blood & who tf made ""white"" the correct way to be.. #blacklivesmatter forever bitch :black_heart::raised_fist_medium-dark_skin_tone::raised_fist_medium_skin_tone::raised_fist_dark_skin_tone:",1,1,0.17592348158359528
124,0,he was a master criminal and that is why he was arrested in the first place. he was suspected of stealing by writing hot checks i have heard. information about his criminal activities is sketchy and are being hidden from the public. i do not know why!,blm,blm he was a master criminal and that is why he was arrested in the first place. he was suspected of stealing by writing hot checks i have heard. information about his criminal activities is sketchy and are being hidden from the public. i do not know why!,0,0,0.06256027519702911
1661,0,so my college sent me a form to sign up for financial assistance for students affected by covid and i just got a nice ass reimbursement.,covid-19,covid-19 so my college sent me a form to sign up for financial assistance for students affected by covid and i just got a nice ass reimbursement.,0,0,0.38940152525901794
5589,0,"⁦ will never know pain, sacrifice, feeling for a neighbor, a friend or a loved one. ⁦ is a draft dodger, whose had a privileged life, and now he is running our country in the ground. #wakeupamerica",blm,"blm ⁦ will never know pain, sacrifice, feeling for a neighbor, a friend or a loved one. ⁦ is a draft dodger, whose had a privileged life, and now he is running our country in the ground. #wakeupamerica",0,0,0.05199465900659561
4368,1,i cannot wait to see you hand his ass next week!,elections2020,elections2020 i cannot wait to see you hand his ass next week!,1,1,0.26003262400627136
439,0,"of course. they have tried every way imaginable to be disruptive to m & h's peace. every week it is another stunt to try and smoke them out of their shelter so they can see them, critique them and benefit from anonymous high level negative engagement (clicks).",blm,"blm of course. they have tried every way imaginable to be disruptive to m & h's peace. every week it is another stunt to try and smoke them out of their shelter so they can see them, critique them and benefit from anonymous high level negative engagement (clicks).",0,0,0.08193088322877884
487,0,vs i wish the next president,elections2020,elections2020 vs i wish the next president,0,0,0.04683544859290123
1396,0,"i live in oregon. antifa is real, not just an ideology. shame on",elections2020,"elections2020 i live in oregon. antifa is real, not just an ideology. shame on",0,0,0.12435488402843475
5924,0,"happy pride! remember that we would not be here today without our black siblings, so continue to protest and support!! #blacklivesmatter #pridemonth #stonewall",blm,"blm happy pride! remember that we would not be here today without our black siblings, so continue to protest and support!! #blacklivesmatter #pridemonth #stonewall",0,0,0.0400482639670372
1410,0,"#blacktwitter #racism #icantbreathe #black_lives_matter #stopkillingus #dearwhitepeople say their names:george floyd, trayvon martin, breonna taylor, ahmaud arbery, tamir rice, oscar grant, eric garner, philando castile,samuel dobose, sandra bland, walter scott,terrence crucher",blm,"blm #blacktwitter #racism #icantbreathe #black_lives_matter #stopkillingus #dearwhitepeople say their names:george floyd, trayvon martin, breonna taylor, ahmaud arbery, tamir rice, oscar grant, eric garner, philando castile,samuel dobose, sandra bland, walter scott,terrence crucher",0,0,0.04591463506221771
18,0,and their contributors are a cancer on our society. they purposely feed disinformation to their viewers. morally bankrupt and dangerous.,covid-19,covid-19 and their contributors are a cancer on our society. they purposely feed disinformation to their viewers. morally bankrupt and dangerous.,0,0,0.20500092208385468
556,0,"umm...you will still be president for thanksgiving and christmas. and we already missed graduations weddings, fourth of july and funerals. this is currently your presidency. #votehimout2020 #votebiden",elections2020,"elections2020 umm...you will still be president for thanksgiving and christmas. and we already missed graduations weddings, fourth of july and funerals. this is currently your presidency. #votehimout2020 #votebiden",0,0,0.04596131667494774
