instance_id,text,annotation task,number of annotations,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain,offensiveness,user_id,cleaned_text,cleaned_domain,community,text_with_domain,predicted_label,true_label,cross_entropy
4,<user> Stay away from children.,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,272,stay away from children.,elections2020,3,elections2020 stay away from children.,0,1,1.8094731569290161
30,"<user> <user> Hey bruh,  that's  not cool. Democrats  play dirty but we should  play smarter. #MAGA",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,272,"hey bruh, that is not cool. democrats play dirty but we should play smarter. #maga",elections2020,3,"elections2020 hey bruh, that is not cool. democrats play dirty but we should play smarter. #maga",0,1,1.446216106414795
81,<user> <user> No he doesn’t. It’s GOP propaganda. Another reason why we need to vote for <user>,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,60,no he does not. it is gop propaganda. another reason why we need to vote for,elections2020,3,elections2020 no he does not. it is gop propaganda. another reason why we need to vote for,0,1,2.140197515487671
127,"Need I say more? Trolling the Democrats is by far one of my favorite pastimes, looks like <user> does to! Except <user> does it with class and He trolls like an expert! Go get em President Trump! Screw those Anti-American Dems! They are worthless and total losers! #MAGA",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,21,"need i say more? trolling the democrats is by far one of my favorite pastimes, looks like does to! except does it with class and he trolls like an expert! go get them president trump! screw those anti-american dems! they are worthless and total losers! #maga",elections2020,3,"elections2020 need i say more? trolling the democrats is by far one of my favorite pastimes, looks like does to! except does it with class and he trolls like an expert! go get them president trump! screw those anti-american dems! they are worthless and total losers! #maga",1,0,1.3228075504302979
161,"Crap! Stop the BS. He was paid large sums of money &amp; used this as a springboard to later fame &amp; more money which is what he wanted.  I watched several B&amp;W Minstrel shows with my parents &amp; neither the show nor my parents were racist.   Fact is, it was simply an early form of BGT.",offensiveness detection,5,en,1,test,0.4,0.6,BLM,1,546,"crap! stop the bs. he was paid large sums of money & used this as a springboard to later fame & more money which is what he wanted. i watched several b&w minstrel shows with my parents & neither the show nor my parents were racist. fact is, it was simply an early form of bgt.",blm,3,"blm crap! stop the bs. he was paid large sums of money & used this as a springboard to later fame & more money which is what he wanted. i watched several b&w minstrel shows with my parents & neither the show nor my parents were racist. fact is, it was simply an early form of bgt.",0,1,0.9296665191650391
169,😍THIS IS SO FUNNY!  😂🤣WATCH <user> MAKE A ASS/DONKEY OUT OF HIMSELF <url>,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,64,:smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,elections2020,3,elections2020 :smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,1,0,0.9480233788490295
217,"""Struggles with message"" is a strange way to say ""Explodes in Rabid Racism"".",offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,64,"""struggles with message"" is a strange way to say ""explodes in rabid racism"".",blm,3,"blm ""struggles with message"" is a strange way to say ""explodes in rabid racism"".",0,1,1.8380370140075684
225,"Bruce .<user> your ad insults the intelligence of American workers. They’re not stupid. They know if Biden wins, China wins. <url>",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,64,"bruce . your ad insults the intelligence of american workers. they are not stupid. they know if biden wins, china wins.",elections2020,3,"elections2020 bruce . your ad insults the intelligence of american workers. they are not stupid. they know if biden wins, china wins.",0,1,1.0246155261993408
244,<user> <user> <user> Why is <user> an open Nazi supporter?,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,60,why is an open nazi supporter?,elections2020,3,elections2020 why is an open nazi supporter?,0,1,1.8939132690429688
269,"<user> <user> Easy answer to silence idiots, make mask a law.  Wear them in public places thats it. You dont need em in your house, when you sleep, while your driving. Just in public places. Im certain no one liked seatbelts but hows that going?",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,64,"easy answer to silence idiots, make mask a law. wear them in public places that is it. you do not need them in your house, when you sleep, while your driving. just in public places. i am certain no one liked seatbelts but how is that going?",elections2020,3,"elections2020 easy answer to silence idiots, make mask a law. wear them in public places that is it. you do not need them in your house, when you sleep, while your driving. just in public places. i am certain no one liked seatbelts but how is that going?",0,1,1.2017903327941895
300,"It took a week to get sick. How many people did that entire bar infect in that week? How many at her medical office?   Sure, you can say hindsight is a bitch. But, some of those they infected will not be afforded that luxury. Get that through your heads!",offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,0,515,"it took a week to get sick. how many people did that entire bar infect in that week? how many at her medical office? sure, you can say hindsight is a bitch. but, some of those they infected will not be afforded that luxury. get that through your heads!",covid-19,3,"covid-19 it took a week to get sick. how many people did that entire bar infect in that week? how many at her medical office? sure, you can say hindsight is a bitch. but, some of those they infected will not be afforded that luxury. get that through your heads!",1,0,0.8097031116485596
349,"<user> In Trumps own words.  The only racist on the stage was you Joe.  Antifa is not an ""idea"" Joe.  <url>",offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,64,"in trumps own words. the only racist on the stage was you joe. antifa is not an ""idea"" joe.",elections2020,3,"elections2020 in trumps own words. the only racist on the stage was you joe. antifa is not an ""idea"" joe.",0,1,1.203957438468933
409,Everything is upside down in the sh*t stained reality of Trump.,offensiveness detection,5,en,1,test,0.0,1.0,Covid-19,1,515,everything is upside down in the sh*t stained reality of trump.,covid-19,3,covid-19 everything is upside down in the sh*t stained reality of trump.,0,1,0.8153208494186401
459,ruining relationships because they care more about buildings than lives &gt;&gt;&gt;&gt;&gt;&gt;&gt; #BlackLivesMatter,offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,64,ruining relationships because they care more about buildings than lives >>>>>>> #blacklivesmatter,blm,3,blm ruining relationships because they care more about buildings than lives >>>>>>> #blacklivesmatter,0,1,1.672029733657837
543,<user> <user> Nothing scarier than a Communist.,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,60,nothing scarier than a communist.,elections2020,3,elections2020 nothing scarier than a communist.,0,1,1.9770371913909912
555,Treason by TRAITORS,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,60,treason by traitors,elections2020,3,elections2020 treason by traitors,0,1,1.6741251945495605
654,"""RT <user> BREAKING—President Trump's Friday fever was """"Quite High"""" (CNN).   ➡️ Always assume WH downplayed the coronavirus. #coronavirus #KarmaIsABitch #foxandfriends #foxnews #tcot #tlot #GOP""",offensiveness detection,5,en,1,test,0.2,0.8,Covid-19,1,515,"""rt breaking—president trump's friday fever was """"quite high"""" (cnn). :right_arrow: always assume wh downplayed the coronavirus. #coronavirus #karmaisabitch #foxandfriends #foxnews #tcot #tlot #gop""",covid-19,3,"covid-19 ""rt breaking—president trump's friday fever was """"quite high"""" (cnn). :right_arrow: always assume wh downplayed the coronavirus. #coronavirus #karmaisabitch #foxandfriends #foxnews #tcot #tlot #gop""",0,1,1.4493167400360107
665,#Anonymous hacked another website! <url> is offline now! <url>,offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,64,#anonymous hacked another website! is offline now!,blm,3,blm #anonymous hacked another website! is offline now!,0,1,1.884048342704773
670,"<user> <user> <user> must FIRE <user> 4 praising the violent fascistic actions of #CultOfTrump #Brown👔s  attacking <user> <user> campaign bus &amp; trying 2 run it off the road. That is criminal behavior, full🛑! #FireJeaninePirro #VoteBidenHarrisToSaveAmerica",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,60,"must fire 4 praising the violent fascistic actions of #cultoftrump #brown:necktie:s attacking campaign bus & trying 2 run it off the road. that is criminal behavior, full:stop_sign:! #firejeaninepirro #votebidenharristosaveamerica",elections2020,3,"elections2020 must fire 4 praising the violent fascistic actions of #cultoftrump #brown:necktie:s attacking campaign bus & trying 2 run it off the road. that is criminal behavior, full:stop_sign:! #firejeaninepirro #votebidenharristosaveamerica",0,1,1.27609384059906
728,"<user> <user> <user> <user> <user> <user> The democrats have HATED President Trump since the night he was elected. 12/2016 Vanity Fair: Democrats are paving the way to Impeach Donald Trump, 6/7/17 Al Green &amp; Brad Sherman drafted articles of impeachment. 7/17 Sherman, 8/17 Cohen introduced articles of impeachment etc.",offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,60,"the democrats have hated president trump since the night he was elected. 12/2016 vanity fair: democrats are paving the way to impeach donald trump, 6/7/17 al green & brad sherman drafted articles of impeachment. 7/17 sherman, 8/17 cohen introduced articles of impeachment etc.",elections2020,3,"elections2020 the democrats have hated president trump since the night he was elected. 12/2016 vanity fair: democrats are paving the way to impeach donald trump, 6/7/17 al green & brad sherman drafted articles of impeachment. 7/17 sherman, 8/17 cohen introduced articles of impeachment etc.",0,1,1.841010332107544
783,<user> <user> <user> But Melania Trump was so horrible for wearing those shoes. Smh #LiberalismIsAMentalDisorder #Hypocrites,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,64,but melania trump was so horrible for wearing those shoes. smh #liberalismisamentaldisorder #hypocrites,elections2020,3,elections2020 but melania trump was so horrible for wearing those shoes. smh #liberalismisamentaldisorder #hypocrites,0,1,1.2365936040878296
801,<user> <user> <user> That's bad.  But also wtf is this shit?  <url>,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,21,that is bad. but also wtf is this shit?,elections2020,3,elections2020 that is bad. but also wtf is this shit?,0,1,0.781775951385498
944,"<user> <user> <user> <user> No, Wallace is a never Trumper liberal hack.",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,64,"no, wallace is a never trumper liberal hack.",elections2020,3,"elections2020 no, wallace is a never trumper liberal hack.",0,1,1.406494379043579
991,"<user> <user> <user> #Trump won without doubt. Now #CorruptMedia #CorruptJoeBiden &amp; #CorruptDemocrats r scrambling 2 fix results. DISGUSTING! If #SleepyJoe was TRULY winning, they NEVER would've holted counting votes. They would have proudly announced their WIN. But NOT the case. #Election2020 #MAGA",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,64,"#trump won without doubt. now #corruptmedia #corruptjoebiden & #corruptdemocrats r scrambling 2 fix results. disgusting! if #sleepyjoe was truly winning, they never would have holted counting votes. they would have proudly announced their win. but not the case. #election2020 #maga",elections2020,3,"elections2020 #trump won without doubt. now #corruptmedia #corruptjoebiden & #corruptdemocrats r scrambling 2 fix results. disgusting! if #sleepyjoe was truly winning, they never would have holted counting votes. they would have proudly announced their win. but not the case. #election2020 #maga",0,1,0.7442470788955688
1151,"Welcome to chavs.  Spitting on and assaulting random people as a mob.  Honestly, just get rid of them, they serve no real purpose in life, they're just a pain in the ass for everybody that has to ever be around them.",offensiveness detection,5,en,0,test,0.6,0.4,BLM,0,21,"welcome to chavs. spitting on and assaulting random people as a mob. honestly, just get rid of them, they serve no real purpose in life, they are just a pain in the ass for everybody that has to ever be around them.",blm,3,"blm welcome to chavs. spitting on and assaulting random people as a mob. honestly, just get rid of them, they serve no real purpose in life, they are just a pain in the ass for everybody that has to ever be around them.",1,0,1.2861542701721191
1228,Boom.  #BidenHarris2020 #TraitorTrump #VeteransAgainstTrump #TrumpHatesOurMilitary #COVID19 #FridayMotivation,offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,1,515,boom. #bidenharris2020 #traitortrump #veteransagainsttrump #trumphatesourmilitary #covid19 #fridaymotivation,covid-19,3,covid-19 boom. #bidenharris2020 #traitortrump #veteransagainsttrump #trumphatesourmilitary #covid19 #fridaymotivation,0,1,1.616126537322998
1249,<user> <user> So is jizz so I guess I commit a mass murder every time I cum...,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,64,so is jizz so i guess i commit a mass murder every time i cum...,elections2020,3,elections2020 so is jizz so i guess i commit a mass murder every time i cum...,0,1,1.1252444982528687
1269,"Polish girl stirring speech Trojan Horse Muslim ""refugee"" invaders Poles support #Trump's Immigration Policy #MAGA  <url> <url>",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,546,"polish girl stirring speech trojan horse muslim ""refugee"" invaders poles support #trump's immigration policy #maga",elections2020,3,"elections2020 polish girl stirring speech trojan horse muslim ""refugee"" invaders poles support #trump's immigration policy #maga",0,1,1.2971770763397217
