instance_id,offensiveness,cleaned_text,cleaned_domain
4,0,stay away from children.,elections2020
7,0,trump is in favor of what happened in texas against biden. the republican party as you knew it is gone. anyone who voted for trump can now be considered a domestic terrorist!,elections2020
15,0,"come on man. listen jack , okay here is the deal... you have a hard enough time with the alphabet, let alone run a country:face_blowing_a_kiss::victory_hand:.",elections2020
26,0,your done! hell no #joebiden2020,elections2020
29,0,this is what the happens in the brains of people who believe that 5g internet causes covid-19.,covid-19
30,0,"hey bruh, that is not cool. democrats play dirty but we should play smarter. #maga",elections2020
42,0,his only plan is to steal the wh. he is a one-trick jack,elections2020
80,0,why does the union support trump???,elections2020
86,0,they are so dirty!!,elections2020
137,0,how stupid do you feel back your legacy is in shambles. the corruption and traitorous deals with chins make you look foolish and prove to anyone awake your administration was not scandal free.,elections2020
167,0,if anyone actually believes the elites are following the same guidelines we are are fooling themselves! just like in massachusetts politicians were literally caught having party! #michigan #whitmer #covid19,covid-19
169,1,:smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,elections2020
174,1,"we are no longer mailing our ballots. hand deliver! hand deliver! hand deliver! do it today, as there are freezing storms on the way and we do not want democrats to get sick! leave the lines for the ignorant bigots how will be in line on election day!",elections2020
186,1,"flip texas blue! vote, your vote is your voice! fight for your right to vote, with your vote evict the gop suppressors out",elections2020
195,1,this country is a fucking sham,covid-19
269,0,"easy answer to silence idiots, make mask a law. wear them in public places that is it. you do not need them in your house, when you sleep, while your driving. just in public places. i am certain no one liked seatbelts but how is that going?",elections2020
308,1,"well i am sure you know jim crow joe will "" put you back in chains"" as he so bluntly stated"" so remember prison reform and opportunity zones... trump. racist and kkk supporter and 90s crime bill.. joe biden. i recall him stating black peoples are super predators?",elections2020
313,0,great news... what is the update? #fakenews #propaganda #bullshit,covid-19
329,0,this is so ridiculously stupid. real accountability is all that is needed for real reform. anyone who thinks a police free city is good is smoking crack. this is going to hurt dems huge in november.,blm
373,0,too much work to fight covid. much easier to run his mouth from twitter #uselesspresident,covid-19
392,0,why support #racistjoebiden who brags about authoring the 1994 crime bill targeting blacks for crack cocaine incarcerating for life adding 60 death penalty crimes? #biden fought school integration working with segregationists. biden is a criminal! #maga,elections2020
395,0,"exactly. war = $$$ that is biggest reason they viewed tulsi gabbard as a threat. well that, and because she will call out the dnc (and gop) for their corrupt shenanigans #elections2020",elections2020
424,0,lol what are you talking about... you are just throwing lies into the air. there is no halting of medicine shipments. israel has more deaths than gaza due to covid. lol stop spreading lies.,covid-19
430,0,this george floyd stuff is really hitting me hard today. he was a good man that learned from his mistakes and chose to better himself and look what happened to him. i am not black but i will stand with you. i am not black but black lives matter. #justiceforgeorge,blm
434,1,i give zero fucks what celebrities are singing a song for,elections2020
439,0,"of course. they have tried every way imaginable to be disruptive to m & h's peace. every week it is another stunt to try and smoke them out of their shelter so they can see them, critique them and benefit from anonymous high level negative engagement (clicks).",blm
449,0,"no wonder why joshy, seth rollins and becky lynch disassociated w crossfit. and his apology sounds like one the fakest apologies i have ever heard, my gosh. :woman_facepalming_light_skin_tone:",blm
481,0,"really? you think was rattled by that ranting ignoramus? seriously? 'dominates is talking over someone and being an ignorant, disrespectful child? the headlines tell it as it is, trump was made to look an ignorant, unprofessional, unpresidential fool - without any help!",elections2020
518,0,and you have not denounced blm or antifa!,elections2020
531,0,if you know nothing about accounting then shut up.,elections2020
533,0,you hair is on fire because the president is kicking covid's ass. who is sad?,covid-19
545,0,not so fast! we see you. cheaters!,elections2020
564,1,"the dnc got over a billion in donations, and you are looking for more? greedy bastards!",elections2020
574,0,and of course george floyd did nothing and if you think he did you are just being blinded by racim,blm
605,0,trump 2020!!! biden is corrupt!!! fact check for yourself!,elections2020
607,1,your kid draws like shit,elections2020
636,0,the number of people killed by trump's lies about covid,covid-19
680,0,criminal bastards akin to nazi germany. these phuckers have no fear.#rigged,elections2020
688,0,trying reading this with out getting incredibly mad at the unbelievably horrible handling of coronavirus by cc,covid-19
700,0,"maybe she changed her mind like kamala did. kamala said biden was a racist and said she believed his accuser!! well, until she was asked to be on the ticket with him...then he was not a racist anymore and his accuser must be lying.",elections2020
706,1,i am just going to say i am going to be so pissed if i got fucking coronavirus like are you kidding me this better be a fucking cold,covid-19
724,1,joe this just proves you are a pussy!,elections2020
761,0,"this is america's left. anti facist and #blacklivesmatter type groups. they call trump a fascist. in the name of protest they: - arson, loot and kill. - beat up a men to death - write free palestine on walls if you think it is only about #georgefloyd, you may be wrong!",blm
787,0,90 plus that outfit :fire::fire::fire::fire:,covid-19
803,0,"president trump's rallies are all like this. massive trump gatherings all across the country, even in 'left' areas. think what you want, joe's polsters are the same as hillary's. inaccurate, and costly, to even think of believing them. have you not even seen demtia-joe??",elections2020
807,0,beating you.,elections2020
823,0,you think shooting a snot rocket on that lady's birkenstocks in a rue 21 is still unacceptable post-covid?,covid-19
830,1,fascists!,elections2020
839,0,where is justice and accountability with these government thugs working throughout our systems...plural!,elections2020
846,0,he has been in politics for 48 years and is a do nothing racist pedophile. name something good that he is done? he drew up bills to segregate people. he rather divide then bring together. wake up.,elections2020
853,0,bullshit. bot.,elections2020
856,0,"the far-left screaming ""black lives matter!"" while gift wrapping an entire campaign strategy for the party who do not care whether they live or die is peak buffoonery. note: before anyone gets it twisted, this is not saying everyone screaming #blacklivesmatter is far-left.",blm
865,1,trump is just so pissed about the deaths of his fellow swine,covid-19
930,0,ride and die?,covid-19
931,0,transitioning to madness :tangerine::clown_face: #endtrumpswaronamerica #davechappelle846 #biden2020 #blacklivesmatter,blm
949,0,where is ag barr. i am mad. i want to know when you are going to investigate the allegations against . i am a taxpayer and i have a right to know. damn it. do something.,elections2020
957,0,this is exactly what will do to us if we are foolish enough to give democrats power this lock down and worse #voteredlikeyourlifedependsonit #voteredtosaveamerica2020 #trump2020landslide,elections2020
1001,0,do you know what sarcasm means?,elections2020
1046,0,ending fracking...ending oil exploration on federal lands....joe killing joe! #maga2020,elections2020
1048,1,hitler liked dogs. there goes your logic :man_facepalming_medium-light_skin_tone::man_shrugging_medium-light_skin_tone:,elections2020
1055,0,"she is so cute, wishing you and your family well",covid-19
1064,0,why did wallace let biden say the 3.5 million was discredited? pathetic,elections2020
1075,0,watch all the way thru.,elections2020
1081,0,looters are killing black people.,blm
