instance_id,offensiveness,cleaned_text,cleaned_domain
1,0,"30 million unemployed , fool",elections2020
2,0,. #wedontbuyhate this is powerful. watch,blm
3,1,"if you watched the entire #georgefloyd porno, you have unlocked your inner level 5 freak & there is no turning back for you...#youknowwhoyouare #dannysdailydose",blm
4,0,stay away from children.,elections2020
5,1,"no super-spreader accusations as people party in the streets from the msm. and just like that, covid ends. the left is a party of liers, racists, cheaters, looters, arsonist, rioters and hypocrites.",covid-19
6,0,trayvon martin #georgezimmerman deserved the death penalty,blm
7,1,trump is in favor of what happened in texas against biden. the republican party as you knew it is gone. anyone who voted for trump can now be considered a domestic terrorist!,elections2020
8,1,that is because he is not and you are the most corrupt and dumbest ever!!:face_with_tears_of_joy::face_with_tears_of_joy:you loser!! #trumpisacoward #trumpiscompromised #trumpisbroke #trumpispathetic #trumpiscorrupt #trumpisnotamerica #trumpisnotwell #trumpisaracist #trumplovesputin,elections2020
9,0,well kind of all over the news. and i do not know how many felons that rob pregnant ladies at gun point get 3 funerals?not really sure.still not getting how they can talk about how what happened to him was absolutely unacceptable w/o misleading people on who he was,blm
10,0,"""you do not want a family christmas if it means people die, do you? do you? you do not want to kill granny. you are not that selfish are you? no. good. thank you for answering our totally objective poll.""",covid-19
11,1,"#blacklivesmatter #blm #blacklivesmatterdc #nokneeling so an employee at just hung up on me for calling about a forgotten drink..a team lead called me ignorant while crying about the 1st employee..and i was given a half ass apology from a mngr ""we will talk to him"" #blm...",blm
12,0,"watch for free, ""america street,"" on racism and murderous violence against black americans, by béninois filmmaker, indrissou mora kpai, shot in the wake of the walter scott murder and the mother emanuel ame church massacre. #georgefloyd #blacklivesmatter",blm
13,0,"it is forced socialism, so... no",elections2020
14,1,"gee. thanks, dick.",covid-19
15,1,"come on man. listen jack , okay here is the deal... you have a hard enough time with the alphabet, let alone run a country:face_blowing_a_kiss::victory_hand:.",elections2020
16,1,who tf is asking these motherfuckers to dance in honor of george floyd? like please!!,blm
17,0,"we are happy to announce that we are now reopen for testing!!! due to covid-19 concerns, we are limiting testing to appointment only and we have added many new procedures to keep you and our clients safe. please call to inquire today!",covid-19
18,0,and their contributors are a cancer on our society. they purposely feed disinformation to their viewers. morally bankrupt and dangerous.,covid-19
19,0,ban anonymous accounts,blm
